"G","B","predicted","actual"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
0.499353825353905,0.49965703038015,"B","B"
